feature,importancia
num__valor_unitario,0.11070239428948639
num__valor_total,0.1082330261942756
num__cantidad_facturada,0.0858724286355194
num__edad,0.054214809620005605
num__mes_atencion,0.042469738053788564
cat__tipo_item_consulta,0.02286565500685232
num__cantidad_realizada,0.020071231440955867
cat__soporte_clinico_NO,0.018968945531642595
cat__tipo_item_SIN_DATO,0.017378144983740716
cat__soporte_clinico_SI,0.017158527294892634
cat__profesional_responsable_SIN_DATO,0.015921377644029122
cat__tipo_item_examen,0.013169370139504376
cat__tipo_atencion_Urgencias,0.012303446100785063
cat__tipo_afiliacion_Subsidiado,0.01154167662824231
cat__tipo_atencion_Ambulatoria,0.010673588962390778
cat__tipo_atencion_Hospitalizacion,0.010501046046354332
cat__sede_Sede Sur,0.010489387370563383
cat__sexo_F,0.010438308271348493
cat__sexo_M,0.010290336288645808
cat__tipo_documento_RC,0.01020642895856263
cat__tipo_documento_TI,0.01018265762907353
cat__ciudad_Bucaramanga,0.009865378116239295
cat__tipo_documento_CE,0.009471479185086177
cat__tipo_afiliacion_Contributivo,0.00943100512761196
cat__sede_Sede Norte,0.009289470213252419
cat__ciudad_Cali,0.008945599298059145
cat__tipo_documento_CC,0.00869039285992456
cat__sede_Sede Urgencias,0.008380827996900415
cat__eps_atencion_Coosalud,0.008326372769384756
cat__eps_atencion_Nueva EPS,0.008311602966503392
cat__sede_Sede Centro,0.008295016478513618
cat__eps_atencion_Compensar,0.008143341927470744
cat__tipo_item_tratamiento,0.008128623618723333
cat__ciudad_Barranquilla,0.0074259841875375
cat__ciudad_Medellin,0.007401570652454791
cat__ciudad_Bogota,0.00712506454397789
cat__diagnostico_principal_cie10_I10X,0.007011274871184701
cat__eps_atencion_Famisanar,0.0069395487936062435
cat__eps_atencion_Sanitas,0.006886314955815215
cat__eps_atencion_Sura EPS,0.006742043681251813
cat__diagnostico_principal_cie10_E119,0.00668959988232289
cat__diagnostico_principal_cie10_I219,0.006567958627420998
cat__diagnostico_principal_cie10_M545,0.005631324541917023
cat__diagnostico_principal_cie10_O800,0.005446722939626757
